"id","submitdate","lastpage","startlanguage","startdate","datestamp","random","Course[CPlan]","Course[CFam]","Course[CJust]","Marche[MPlan]","Marche[MFam]","Marche[MJust]","age","Genre","CSP","CSP[other]","Diplome","Diplome[other]","CapEco","EnvCS[SQ001]","EnvPSubj[SQ001]","EnvPObj","Engagement","autre"
"1","2025-01-13 14:26:47","4","fr","2025-01-13 14:24:13","2025-01-13 14:26:47","1","","","","50","100","100","27","Homme","Cadres et professions intellectuelles supérieures","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","30 000 - 60 000€","20","70","Métropole : plus de 200 000 habitants","7","Marche : 8km par jour tous les jours
Salle de sport / musculation : 1h, 4 fois par semaine"
"2","2025-01-13 14:42:03","4","fr","2025-01-13 14:36:53","2025-01-13 14:42:03","1","","","","100","100","100","28","Homme","Professions intermédiaires","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","30 000 - 60 000€","40","50","Métropole : plus de 200 000 habitants","5","Je me rends tous les jours au travail en marchant de façon active, une trentaine de minutes le matin et le soir. Il s'agit de la seule activité physique que je pratique hors vacances."
"3","2025-01-13 14:39:05","4","fr","2025-01-13 14:37:16","2025-01-13 14:39:05","1","","","","50","100","100","27","Femme","Cadres et professions intellectuelles supérieures","","Bac + 4 (Maîtrise)","","15 000 - 30 000€","","100","Métropole : plus de 200 000 habitants","4",""
"8","2025-01-13 15:26:29","4","fr","2025-01-13 15:18:47","2025-01-13 15:26:29","0","92","84","62","","","","27","Autre / Préfère ne pas répondre","Autre","Auto-entrepreneur","Bac + 3 (Licence, Licence LMD, licence professionnelle, BUT)","","15 000 - 30 000€","13","72","Petite ville : de 5 000 à 20 000 habitants","1",""
"10","2025-01-13 15:39:12","4","fr","2025-01-13 15:33:22","2025-01-13 15:39:12","0","30","50","65","","","","21","Femme","Etudiant(e)s","","Bac + 3 (Licence, Licence LMD, licence professionnelle, BUT)","","- de 15 000€","75","100","Ville moyenne : de 20 000 à 50 000 habitants","3",""
"11","2025-01-13 15:43:12","4","fr","2025-01-13 15:41:17","2025-01-13 15:43:12","1","","","","100","100","100","22","Homme","Etudiant(e)s","","Bac + 3 (Licence, Licence LMD, licence professionnelle, BUT)","","- de 15 000€","59","70","Grande ville : de 50 000 à 200 000 habitants","7",""
"12","2025-01-13 15:51:35","4","fr","2025-01-13 15:49:20","2025-01-13 15:51:35","0","83","88","77","","","","19","Homme","Etudiant(e)s","","Bac + 3 (Licence, Licence LMD, licence professionnelle, BUT)","","- de 15 000€","100","20","Bourg : de 2 000 à 5 000 habitants","10",""
"14","2025-01-13 16:01:13","4","fr","2025-01-13 15:58:53","2025-01-13 16:01:13","1","","","","60","85","85","22","Femme","Etudiant(e)s","","Bac + 3 (Licence, Licence LMD, licence professionnelle, BUT)","","- de 15 000€","30","70","Grande ville : de 50 000 à 200 000 habitants","5",""
"15","2025-01-13 16:11:38","4","fr","2025-01-13 16:08:21","2025-01-13 16:11:38","0","100","50","75","","","","22","Femme","Etudiant(e)s","","Bac + 3 (Licence, Licence LMD, licence professionnelle, BUT)","","- de 15 000€","80","85","Petite ville : de 5 000 à 20 000 habitants","6",""
"16","2025-01-13 16:17:15","4","fr","2025-01-13 16:13:51","2025-01-13 16:17:15","1","","","","98","73","100","21","Homme","Etudiant(e)s","","Bac + 3 (Licence, Licence LMD, licence professionnelle, BUT)","","15 000 - 30 000€","77","21","Métropole : plus de 200 000 habitants","7",""
